D_1,D_2,T_1,T_2,Value
D1099,D1007,P32,P33,0.805984952120383
D1099,D1095,P33,P32,0.8388400453771979
D1099,D1100,P32,P33,0.8356565798076024
D1099,D1104,P32,P33,0.8153531438415159
D1099,D1105,P32,P33,0.8388400453771979
D1099,D4384,P32,P33,0.8094608879492601
D1099,D999,P32,P33,0.8042420327304048
D11,D12,P2,P1,0.8889087656529516
D11,D12,P2,P1041,0.7607036374478234
D11,D12,P2,P538,0.7642464051127286
D11,D12,P2,P541,0.7701446434405536
D11,D12,P2,P574,0.8286523553965415
D11,D12,P2,P684,0.7658318425760285
D11,D12,P2,P685,0.7688675042323799
D11,D4848,P2,P1,0.864102564102564
D11,D4848,P2,P1041,0.735897435897436
D11,D4848,P2,P538,0.739440203562341
D11,D4848,P2,P541,0.7453384418901661
D11,D4848,P2,P574,0.803846153846154
D11,D4848,P2,P684,0.7410256410256411
D11,D4848,P2,P685,0.7440613026819923
D110,D645,P425,P253,0.8885741265344665
D110,D645,P425,P75,0.8866855524079321
D110,D89,P59,P60,0.7892553915497986
D1100,D1003,P32,P33,0.7920037074486013
D1100,D1007,P32,P33,0.7860819371509544
D1100,D1095,P33,P32,0.8153531438415159
D1100,D1104,P32,P33,0.8449827734711456
D1100,D1105,P32,P33,0.8153531438415159
D1100,D4384,P32,P33,0.7898901808785529
D1100,D999,P32,P33,0.7854967568422717
D1101,D1003,P32,P33,0.8005383290267011
D1101,D1007,P32,P33,0.794392622880995
D1101,D1095,P33,P32,0.8180580959846703
D1101,D1100,P32,P33,0.87136037058045
D1101,D1104,P32,P33,0.8480206428011497
D1101,D1105,P32,P33,0.8180580959846703
D1101,D4384,P32,P33,0.792156262749898
D1101,D999,P32,P33,0.7876708223447615
D1102,D1003,P32,P33,0.7873783605475837
D1102,D1007,P32,P33,0.7816299469604243
D1102,D1095,P33,P32,0.8101196494775867
D1102,D1100,P32,P33,0.8608869129046967
D1102,D1104,P32,P33,0.8523901808785529
D1102,D1105,P32,P33,0.8101196494775867
D1102,D4384,P32,P33,0.7854967568422717
D1102,D999,P32,P33,0.7812790697674418
D1103,D1003,P32,P33,0.7968346253229974
D1103,D1007,P32,P33,0.7907296192179913
D1103,D1095,P33,P32,0.8208245243128963
D1103,D1100,P32,P33,0.8452006383948928
D1103,D1104,P32,P33,0.8246124031007751
D1103,D1105,P32,P33,0.8208245243128963
D1103,D4384,P32,P33,0.794470559129144
D1103,D999,P32,P33,0.7898901808785529
D1104,D1003,P32,P33,0.7766326051209772
D1104,D1095,P33,P32,0.7979801006952769
D1104,D1100,P32,P33,0.8449827734711456
D1104,D1105,P32,P33,0.7979801006952769
D1104,D4384,P32,P33,0.7752596522917137
D1105,D1003,P32,P33,0.788380519042804
D1105,D1007,P32,P33,0.788380519042804
D1105,D1095,P33,P32,0.831317383943687
D1105,D1100,P32,P33,0.8153531438415159
D1105,D1104,P32,P33,0.7979801006952769
D1105,D4384,P32,P33,0.7864179586563308
D1105,D999,P32,P33,0.782095396298054
D1127,D1130,P185,P186,0.8147912872852525
D1127,D1130,P185,P187,0.7766005714355786
D1127,D1130,P185,P218,0.8896652973644462
D1127,D1130,P185,P236,0.7793991955756662
D1128,D1065,P188,P1129,0.7807875988413059
D1128,D1065,P188,P192,0.7924666528440114
D1128,D1065,P188,P193,0.784230444607803
D1128,D1065,P188,P249,0.8591909038477383
D1128,D1065,P188,P250,0.7835089438863023
D1128,D1066,P185,P186,0.7872909789858321
D1128,D1066,P185,P187,0.7491002631361582
D1128,D1066,P185,P218,0.8621649890650257
D1128,D1066,P185,P236,0.7518988872762457
D1128,D1066,P186,P185,0.7872909789858321
D1128,D1066,P186,P187,0.7572303444369712
D1128,D1066,P186,P218,0.7872909789858321
D1128,D1066,P186,P236,0.7615142718916305
D1128,D1129,P236,P185,0.8543447293447294
D1128,D1129,P236,P186,0.863960113960114
D1128,D1129,P236,P187,0.9541102077687444
D1128,D1129,P236,P218,0.8537037037037037
D1128,D626,P186,P185,0.7872909789858321
D1128,D626,P186,P187,0.7572303444369712
D1128,D626,P186,P218,0.7872909789858321
D1128,D626,P186,P236,0.7615142718916305
D1130,D1127,P186,P185,0.8147912872852525
D1130,D1127,P186,P187,0.7847306527363916
D1130,D1127,P186,P218,0.8147912872852525
D1130,D1127,P186,P236,0.7890145801910508
D1132,D1139,P20,P203,0.8812790221732932
D1132,D1139,P20,P732,0.8874222553932544
D1132,D1139,P20,P773,0.8828739185050317
D1133,D1132,P20,P203,0.9323536113009797
D1133,D1132,P20,P732,0.938496844520941
D1133,D1132,P20,P773,0.9339485076327182
D1133,D1139,P20,P203,0.9068709858183542
D1133,D1139,P20,P732,0.9130142190383154
D1133,D1139,P20,P773,0.9084658821500927
D1134,D39,P19,P202,0.8549266247379456
D1134,D39,P19,P207,0.8521313766596785
D1134,D39,P19,P621,0.8528301886792452
D1135,D1132,P20,P203,0.8955044791247447
D1135,D1132,P20,P732,0.9016477123447059
D1135,D1132,P20,P773,0.8970993754564832
D1135,D1139,P20,P203,0.9347812490227351
D1135,D1139,P20,P732,0.9409244822426963
D1135,D1139,P20,P773,0.9363761453544736
D1136,D1132,P20,P203,0.8955044791247447
